ind1,inda,logp,lumo,mutagenic,molecule_id
1,0,2.509511947631836,-1.648499608039856,yes,48
1,0,4.963291645050049,-1.437191128730774,no,76
0,0,0.0656975582242012,-1.5974432229995728,no,113
1,0,7.837848663330078,-1.4139509201049805,no,176
1,0,6.646209716796875,-1.5900626182556152,no,229
1,0,7.757419586181641,-1.62106192111969,no,336
1,0,7.760501861572266,-1.7386358976364136,no,367
0,0,1.13701331615448,-1.0115108489990234,no,399
1,0,7.7971343994140625,-1.5148934125900269,no,464
1,0,5.18100643157959,-1.7765448093414307,yes,491
1,0,7.789953231811523,-1.386854648590088,no,560
0,0,0.7881671786308289,-1.1984748840332031,no,641
1,0,5.802670478820801,-1.458911657333374,no,672
0,0,2.3300230503082275,-1.180109977722168,no,709
1,0,7.832347869873047,-1.56440269947052,no,796
1,0,5.755019187927246,-1.4689466953277588,yes,855
1,0,7.839888572692871,-1.5776430368423462,no,865
1,0,7.835315227508545,-1.5365643501281738,no,969
1,0,3.867781400680542,-1.6453914642333984,yes,993
1,0,5.38074254989624,-1.4734019041061401,yes,1056
0,0,1.0863827466964722,-1.6112003326416016,no,1127
1,0,7.8331451416015625,-1.624516487121582,no,1154
0,0,2.5692477226257324,-1.627776861190796,yes,1250
1,0,5.246536731719971,-1.5903105735778809,yes,1268
1,0,7.837707996368408,-1.5330651998519897,no,1315
0,0,1.3918341398239136,-1.4339901208877563,no,1441
1,0,4.117900371551514,-1.454540491104126,yes,1443
1,0,6.160134792327881,-1.5968005657196045,yes,1515
0,0,0.8141971230506897,-1.4519346952438354,no,1562
1,0,4.587683200836182,-1.7158936262130737,yes,1639
0,0,1.4043934345245361,-1.4572995901107788,no,1681
1,0,7.378213882446289,-1.5279779434204102,no,1753
1,0,3.374462366104126,-0.8477644324302673,no,1804
1,0,4.195713043212891,-1.5889273881912231,yes,1830
1,0,7.830536842346191,-1.5846786499023438,no,1921
1,0,7.013025283813477,-1.6364928483963013,no,1981
1,0,2.9509148597717285,-1.0554693937301636,no,1994
1,0,6.930363178253174,-1.4714683294296265,no,2079
0,0,2.1345348358154297,-1.6662049293518066,no,2094
1,0,7.835078716278076,-1.5428231954574585,no,2164
1,0,4.600233554840088,-1.6700224876403809,yes,2183
1,0,7.800899505615234,-1.554678201675415,no,2258
1,0,7.396694660186768,-1.6720384359359741,no,2304
1,0,5.1763458251953125,-1.4380738735198975,no,2372
1,0,7.838284015655518,-1.577622890472412,no,2435
1,0,4.807044982910156,-1.3732922077178955,no,2478
1,0,5.299859523773193,-1.2241264581680298,no,2528
0,0,1.1179805994033813,-1.2414416074752808,no,2559
0,0,2.1274330615997314,-1.2440468072891235,no,2659
0,0,2.1334095001220703,-1.464482069015503,no,2699
1,0,5.421582221984863,-1.4129942655563354,yes,2702
1,0,7.839953422546387,-1.5514962673187256,no,2826
0,0,2.6512222290039062,-0.8053799271583557,no,2875
1,0,7.733766078948975,-1.481597661972046,no,2880
1,0,5.919201850891113,-1.381654143333435,no,2964
0,0,0.62527996301651,-0.9845259785652161,no,3014
1,0,7.839985370635986,-1.5294404029846191,no,3034
1,0,7.834547519683838,-1.4206292629241943,no,3120
1,0,6.99753475189209,-1.5748701095581055,no,3190
1,0,4.435586452484131,-1.405775785446167,yes,3247
1,0,3.874342918395996,-1.0684149265289307,no,3287
1,0,3.2530627250671387,-1.164568305015564,no,3343
1,0,7.095611095428467,-1.4443210363388062,yes,3395
0,0,1.275537133216858,-2.143260955810547,no,3418
1,0,7.839291095733643,-1.5438660383224487,no,3451
1,0,4.567609786987305,-1.1393096446990967,yes,3506
1,0,4.212880611419678,-1.3458985090255737,no,3567
1,0,4.696956157684326,-1.1610996723175049,yes,3598
1,0,7.8398590087890625,-1.6415373086929321,no,3690
0,0,2.4834396839141846,-1.1446352005004883,no,3771
1,0,4.486416339874268,-1.4465970993041992,yes,3819
1,0,4.07570743560791,-1.5241833925247192,no,3841
1,0,2.003538131713867,-1.302797555923462,yes,3904
1,0,5.957530498504639,-1.4057705402374268,yes,3943
1,0,5.2283806800842285,-1.4183584451675415,no,4033
1,0,2.7517855167388916,-2.1587440967559814,yes,4079
0,0,0.44991201162338257,-1.5466614961624146,no,4112
1,0,7.839872360229492,-1.5080145597457886,no,4205
1,0,4.620729446411133,-1.2146929502487183,no,4230
1,0,5.289792060852051,-1.3921172618865967,no,4299
1,0,7.839473247528076,-1.532912254333496,no,4304
1,0,5.639408588409424,-1.6610462665557861,no,4411
1,0,7.8109354972839355,-1.7163478136062622,no,4479
0,0,2.0097761154174805,-1.3097776174545288,no,4513
1,0,5.034791946411133,-1.6005778312683105,yes,4588
1,0,7.839967250823975,-1.6910287141799927,no,4598
1,0,7.839942455291748,-1.551820993423462,no,4691
0,0,0.999420702457428,-1.1954255104064941,no,4726
0,0,1.1829683780670166,-1.2387539148330688,no,4732
1,0,6.678524017333984,-1.3439466953277588,yes,4802
0,0,1.612248420715332,-1.8813588619232178,no,4848
1,0,4.318398475646973,-1.67427659034729,no,4960
0,0,0.9884465336799622,-1.5627113580703735,no,5027
1,0,4.0679545402526855,-1.5626112222671509,yes,5056
1,0,4.630704879760742,-1.9182677268981934,yes,5083
1,0,4.291867733001709,-1.440986156463623,yes,5221
1,0,7.789669036865234,-1.5850523710250854,no,5269
1,0,3.6553025245666504,-1.5050170421600342,yes,5299
1,0,7.8383026123046875,-1.7777609825134277,yes,5341
1,0,2.617142677307129,-1.6334458589553833,yes,5398
1,0,7.495147705078125,-1.4441057443618774,no,5430
1,0,5.332708835601807,-1.3982136249542236,yes,5552
0,0,1.8061697483062744,-1.7589305639266968,no,5569
1,0,7.8377299308776855,-1.5021194219589233,no,5641
0,0,2.1309239864349365,-1.4934468269348145,no,5670
1,0,4.303669452667236,-1.1825076341629028,no,5719
0,0,0.6565166115760803,-1.5392857789993286,no,5722
1,0,1.5092679262161255,-1.9033783674240112,yes,5814
1,0,5.363499164581299,-1.457396149635315,no,5851
1,0,6.042569637298584,-1.349393367767334,yes,5855
0,0,0.1958003044128418,-1.8199132680892944,no,5968
0,0,2.4662115573883057,-1.3506816625595093,no,6020
1,0,7.835154056549072,-1.3656957149505615,no,6082
0,0,0.9269402027130127,-1.2138491868972778,no,6132
1,0,3.3059442043304443,-1.2425298690795898,yes,6155
0,0,0.13280749320983887,-1.607283115386963,no,6194
1,0,5.721347332000732,-1.3552418947219849,yes,6275
0,0,2.1474504470825195,-0.8825567364692688,no,6352
0,0,0.1268465518951416,-1.1886905431747437,no,6402
0,0,2.108722686767578,-1.9961689710617065,no,6430
1,0,4.067359447479248,-2.0279855728149414,yes,6445
1,0,7.736260414123535,-1.2527066469192505,yes,6546
1,0,7.838687896728516,-1.5553174018859863,no,6602
0,0,3.4425857067108154,-1.8348207473754883,no,6649
1,0,7.302124977111816,-1.2683775424957275,no,6666
1,0,7.290918350219727,-1.314453363418579,no,6743
1,0,7.5798821449279785,-1.3167097568511963,no,6802
1,0,7.701729774475098,-1.6124111413955688,no,6901
1,0,2.20090913772583,-2.124537467956543,yes,6928
1,0,3.3395836353302,-0.959357738494873,no,6953
0,0,0.08450721949338913,-1.5844556093215942,no,7013
1,0,7.40111780166626,-1.5692124366760254,no,7037
1,0,7.810295581817627,-1.4518548250198364,yes,7120
1,0,3.330923318862915,-2.1788086891174316,yes,7193
0,0,1.8215423822402954,-1.2357310056686401,no,7218
0,0,2.264195203781128,-1.6222329139709473,yes,7291
0,0,0.26794135570526123,-1.5856716632843018,no,7292
1,0,4.415170192718506,-1.5202611684799194,yes,7410
1,0,4.9416937828063965,-1.3827217817306519,yes,7422
1,0,5.176534175872803,-1.2316895723342896,no,7495
1,0,4.472544193267822,-1.4674906730651855,yes,7564
1,0,4.65897274017334,-1.4504187107086182,yes,7640
1,0,6.650545120239258,-1.3716251850128174,no,7665
0,0,0.8150103092193604,-1.3193308115005493,no,7721
